frame,absolute_angle,relative_angle
1,50.792796495032164,0.0
2,332.7648533006975,281.97205680566526
3,332.19854122006586,281.4057447250336
4,334.6538240580533,283.86102756302114
5,78.17851165939275,27.38571516436059
6,356.9335144988741,306.1407180038419
7,75.20323775494266,24.4104412599105
8,75.14138555207533,24.34858905704317
9,338.1985905136482,287.405794018616
10,0.0,309.2072035049678
11,1.193489423982035,310.40069292894987
12,74.05460409907715,23.261807604044975
13,357.9174347202691,307.12463822523694
14,356.3670492605118,305.5742527654796
15,10.007979801441337,319.2151833064092
16,338.3691131634821,287.57631666844986
17,10.007979801441337,319.2151833064092
18,8.2758928270752,317.48309633204303
19,10.491477012331599,319.6986805172994
20,45.0,354.2072035049678
21,0.0,309.2072035049678
22,334.722277764447,283.92948126941485
23,331.3895403340348,280.59674383900256
24,66.37062226934319,15.577825774311009
25,329.19855402386315,278.4057575288309
26,81.2538377374448,30.461041242412648
27,62.98733465206146,12.194538157029285
28,13.29857033049428,322.5057738354621
29,347.19573393471325,296.40293743968107
30,19.707978842978722,328.91518234794654
31,50.71059313749964,359.91779664246747
32,0.0,309.2072035049678
33,0.0,309.2072035049678
34,270.0,219.20720350496777
35,82.14668669802178,31.353890202989646
36,49.573921259900864,358.7811247648687
37,270.0,219.20720350496777
38,49.82076607809266,359.0279695830605
39,17.96913974015702,327.1763432451248
40,275.2900812053713,224.49728471033904
41,277.38604315126724,226.59324665623512
42,45.0,354.2072035049678
43,50.77432590266327,359.9815294076311
44,31.6075022462489,340.8147057512167
45,67.45693899994212,16.664142504909933
46,67.91282839677164,17.12003190173948
47,313.7269699799433,262.93417348491107
48,85.53284093861072,34.74004444357854
49,343.14160123226173,292.34880473722956
50,352.278174199869,301.48537770483676
51,343.3792430861079,292.58644659107574
52,6.84277341263094,316.04997691759877
53,270.0,219.20720350496777
54,270.0,219.20720350496777
55,283.49573328079583,232.70293678576365
56,348.27488798483495,297.48209148980277
57,270.0,219.20720350496777
58,307.33319573818585,256.5403992431536
59,81.86989764584403,31.07710115081187
60,332.4027041313563,281.6099076363241
61,41.268603000839555,350.4758065058074
62,316.80873932249204,266.01594282745987
63,270.0,219.20720350496777
64,45.0,354.2072035049678
65,299.6044507460049,248.81165425097265
66,334.5922818910515,283.79948539601935
67,40.81508387488159,350.02228737984944
68,61.87626461671118,11.083468121679005
69,47.60256220249981,356.80976570746765
70,40.48601154199874,349.6932150469666
71,51.63251461513847,0.8397181201062835
72,331.7826441452707,280.9898476502385
73,0.0,309.2072035049678
74,40.0607844578738,349.26798796284163
75,0.0,309.2072035049678
76,37.26640190097714,346.47360540594497
77,2.5448043798130953,311.75200788478094
78,24.904768808095188,334.111972313063
79,283.09189306434683,232.29909656931466
80,270.0,219.20720350496777
81,0.0,309.2072035049678
82,295.6410058243053,244.84820932927312
83,10.43747535111818,319.644678856086
84,19.384515679357836,328.59171918432565
85,0.0,309.2072035049678
86,25.463345061871614,334.67054856683944
87,315.0,264.20720350496777
88,290.2825590889166,239.4897625938845
89,315.7440592028887,264.9512627078566
90,24.77514056883192,333.98234407379977
91,301.7989128242944,251.00611632926223
92,271.43209618416466,220.63929968913249
93,43.264295411071615,352.4714989160394
94,317.81555668421123,267.02276018917905
95,24.567171320601314,333.77437482556917
96,33.94358701975181,343.15079052471964
97,37.04247477308286,346.2496782780507
98,0.0,309.2072035049678
99,305.5376777919744,254.74488129694214
100,16.69924423399362,325.90644773896145
101,32.94921511659045,342.15641862155826
102,289.17900802581073,238.3862115307786
103,308.33334010909863,257.54054361406645
104,26.980230718222856,336.1874342231907
105,301.75948008481276,250.9666835897806
106,273.8785245028477,223.08572800781553
107,15.945395900922854,325.15259940589067
108,0.0,309.2072035049678
109,0.0,309.2072035049678
110,40.91438322002513,350.121586724993
111,45.0,354.2072035049678
112,82.50414236027014,31.711345865237945
113,86.13453883014826,35.34174233511612
114,346.21840276434637,295.42560626931413
115,270.0,219.20720350496777
116,57.264773727892404,6.47197723286024
117,0.0,309.2072035049678
118,345.30268072048807,294.50988422545583
119,353.2901631922431,302.49736669721096
120,272.7927023657133,221.99990587068112
121,36.304497122575235,345.51170062754306
122,45.0,354.2072035049678
123,277.76516601842536,226.97236952339313
124,45.0,354.2072035049678
125,326.30993247402023,275.5171359789881
126,328.4652080948117,277.6724115997795
127,0.0,309.2072035049678
128,0.0,309.2072035049678
129,82.5685920288275,31.775795533795304
130,353.54118362128133,302.7483871262491
131,59.53445508054013,8.741658585507935
132,287.10272896905235,236.30993247402012
133,278.3256503304268,227.5328538353947
134,354.6441749571448,303.8513784621126
